,strategy,feedback.relevance,feedback.groundedness,feedback.retrieval_relevance
0,header_only,1.0,1.0,1.0
1,header_only,1.0,1.0,1.0
2,header_only,0.0,0.0,1.0
3,header_only,1.0,1.0,1.0
4,header_only,1.0,1.0,1.0
5,header_only,0.0,0.0,1.0
6,header_only,1.0,1.0,1.0
7,header_only,1.0,1.0,1.0
8,header_only,0.0,0.0,1.0
9,header_only,0.0,1.0,0.0
10,header_only,1.0,1.0,1.0
0,header_then_recursive,1.0,1.0,1.0
1,header_then_recursive,1.0,1.0,1.0
2,header_then_recursive,1.0,0.0,1.0
3,header_then_recursive,1.0,1.0,1.0
4,header_then_recursive,0.0,0.0,1.0
5,header_then_recursive,1.0,1.0,1.0
6,header_then_recursive,0.0,0.0,1.0
7,header_then_recursive,0.0,0.0,1.0
8,header_then_recursive,1.0,1.0,1.0
9,header_then_recursive,1.0,1.0,1.0
10,header_then_recursive,1.0,1.0,1.0
